%eval_id interface              R              S              F           rmse       rmse_std 
1            NO_ID          0.001          0.001          0.001   0.9264510629    1.012169944 
2            NO_ID 0.007419354839          0.001          0.001   0.9406576143   0.9967045527 
3            NO_ID  0.01383870968          0.001          0.001   0.9229281353   0.9804676643 
4            NO_ID  0.02025806452          0.001          0.001   0.9419797629   0.9925787953 
5            NO_ID  0.02667741935          0.001          0.001   0.9504487616    1.026540388 
6            NO_ID  0.03309677419          0.001          0.001   0.9343631244   0.9878077426 
7            NO_ID  0.03951612903          0.001          0.001   0.9809459862     1.05926894 
8            NO_ID  0.04593548387          0.001          0.001   0.9452996899    1.018020141 
9            NO_ID  0.05235483871          0.001          0.001   0.9522943036    1.044178654 
10           NO_ID  0.05877419355          0.001          0.001   0.9635385703   0.9942270879 
11           NO_ID  0.06519354839          0.001          0.001   0.9538909068    1.010186155 
12           NO_ID  0.07161290323          0.001          0.001    0.947471898    1.014446179 
13           NO_ID  0.07803225806          0.001          0.001   0.9627768974    1.003868845 
14           NO_ID   0.0844516129          0.001          0.001   0.9440679141   0.9860529066 
15           NO_ID  0.09087096774          0.001          0.001   0.9616077766    1.017905361 
16           NO_ID  0.09729032258          0.001          0.001    0.949555267    1.019995654 
17           NO_ID   0.1037096774          0.001          0.001   0.9414265917   0.9804221272 
18           NO_ID   0.1101290323          0.001          0.001   0.9405411067   0.9988364545 
19           NO_ID   0.1165483871          0.001          0.001   0.8979483915   0.9475764375 
20           NO_ID   0.1229677419          0.001          0.001   0.9879991795     1.06219084 
21           NO_ID   0.1293870968          0.001          0.001   0.9277238819   0.9852329352 
22           NO_ID   0.1358064516          0.001          0.001   0.9780425204    1.005505691 
23           NO_ID   0.1422258065          0.001          0.001   0.9469828717   0.9927793792 
24           NO_ID   0.1486451613          0.001          0.001   0.9492768303   0.9765603975 
25           NO_ID   0.1550645161          0.001          0.001   0.9345159964   0.9922948889 
26           NO_ID    0.161483871          0.001          0.001   0.9656073583    1.000871951 
27           NO_ID   0.1679032258          0.001          0.001     0.94034687    1.018675041 
28           NO_ID   0.1743225806          0.001          0.001   0.9428770451    1.003832162 
29           NO_ID   0.1807419355          0.001          0.001   0.9955772712    1.042512907 
30           NO_ID   0.1871612903          0.001          0.001   0.9180612968   0.9928397177 
31           NO_ID   0.1935806452          0.001          0.001   0.9785929306    1.023119647 
32           NO_ID            0.2          0.001          0.001   0.9829601927    1.040366729 
33           NO_ID          0.001  0.03322580645          0.001  0.02431587273   0.0628126846 
34           NO_ID 0.007419354839  0.03322580645          0.001  0.02394626986  0.05923294946 
35           NO_ID  0.01383870968  0.03322580645          0.001  0.02393119214   0.0534913159 
