%eval_id interface              R              S              F           rmse 
84           NO_ID   0.1531666667         0.7225  0.02405555556 0.002017994329 
85           NO_ID   0.1531666667         0.7225 0.005611111111 0.003295476654 
86           NO_ID    0.154191358         0.8335  0.03225308642 0.002157081405 
87           NO_ID   0.1521419753         0.8335  0.03225308642 0.002195451702 
88           NO_ID   0.1531666667   0.8376111111  0.03225308642  0.00212551256 
89           NO_ID   0.1531666667   0.8293888889  0.03225308642 0.002202357618 
90           NO_ID  0.07016666667         0.7225         0.0425 0.002502877194 
91           NO_ID  0.01483333333         0.7225         0.0425  0.00346294738 
92           NO_ID         0.0425         0.7225  0.07016666667 0.003352031663 
93           NO_ID         0.0425         0.7225  0.01483333333 0.003529721071 
94           NO_ID   0.1623888889         0.6855  0.01483333333 0.001987486727 
95           NO_ID   0.1439444444         0.6855  0.01483333333 0.002013970353 
96           NO_ID   0.1531666667         0.6855  0.02405555556 0.001958741294 
97           NO_ID   0.1531666667         0.6855 0.005611111111 0.003177996758 
98           NO_ID  0.07016666667         0.7225  0.07016666667 0.003493489992 
99           NO_ID  0.07016666667         0.7225  0.01483333333 0.002950564307 
100          NO_ID   0.1623888889         0.6855  0.02405555556 0.002184954594 
101          NO_ID   0.1439444444         0.6855  0.02405555556 0.002281247982 
102          NO_ID  0.07016666667         0.8335  0.07016666667 0.002660297895 
103          NO_ID  0.07016666667         0.8335  0.01483333333 0.003564641313 
104          NO_ID   0.1623888889         0.7225  0.02405555556 0.002249136674 
105          NO_ID   0.1439444444         0.7225  0.02405555556 0.002162379125 
106          NO_ID   0.1562407407         0.6855  0.02405555556 0.002360426021 
107          NO_ID   0.1500925926         0.6855  0.02405555556 0.001991607909 
108          NO_ID   0.1531666667   0.6978333333  0.02405555556 0.002118504414 
109          NO_ID   0.1531666667   0.6731666667  0.02405555556  0.00220339361 
110          NO_ID   0.1531666667         0.6855  0.02712962963  0.00218183248 
111          NO_ID   0.1531666667         0.6855  0.02098148148 0.002121615453 
112          NO_ID         0.1255         0.9445  0.01483333333 0.003520099998 
113          NO_ID         0.1255         0.7225  0.01483333333 0.002359056837 
114          NO_ID    0.165462963         0.6855  0.01483333333  0.00218598764 
115          NO_ID   0.1593148148         0.6855  0.01483333333 0.002031943438 
116          NO_ID   0.1623888889   0.6978333333  0.01483333333  0.00202413309 
117          NO_ID   0.1623888889   0.6731666667  0.01483333333 0.002212964239 
118          NO_ID   0.1623888889         0.6855  0.01790740741 0.002022834634 
119          NO_ID   0.1623888889         0.6855  0.01175925926 0.002245915115 
120          NO_ID    0.154191358         0.6855  0.02405555556 0.002060356974 
121          NO_ID   0.1521419753         0.6855  0.02405555556 0.002054542454 
122          NO_ID   0.1531666667   0.6896111111  0.02405555556 0.001907028064 
123          NO_ID   0.1531666667   0.6813888889  0.02405555556  0.00230038599 
124          NO_ID   0.1531666667         0.6855  0.02508024691 0.002178691463 
125          NO_ID   0.1531666667         0.6855   0.0230308642  0.00196188765 
126          NO_ID   0.1531666667         0.9445  0.07016666667 0.002878257339 
127          NO_ID   0.1531666667         0.7225  0.07016666667 0.004945570126 
128          NO_ID    0.154191358   0.6896111111  0.02405555556 0.002038181765 
129          NO_ID   0.1521419753   0.6896111111  0.02405555556 0.001870966654 
130          NO_ID   0.1531666667   0.6896111111  0.02508024691 0.002018758849 
131          NO_ID   0.1531666667   0.6896111111   0.0230308642 0.002073159665 
132          NO_ID  0.07016666667         0.8335         0.1255 0.002748361144 
133          NO_ID  0.01483333333         0.8335         0.1255  0.00440967494 
134          NO_ID         0.0425         0.9445         0.1255 0.003472321197 
135          NO_ID         0.0425         0.7225         0.1255  0.00566839127 
136          NO_ID         0.0425         0.8335   0.1531666667 0.004138239206 
137          NO_ID         0.0425         0.8335  0.09783333333 0.003641398793 
138          NO_ID   0.1347222222         0.8335         0.0425 0.002380532223 
139          NO_ID   0.1162777778         0.8335         0.0425 0.002273485998 
140          NO_ID         0.1255         0.8705         0.0425  0.00221780771 
141          NO_ID         0.1255         0.7965         0.0425 0.002105172013 
142          NO_ID         0.1255         0.8335  0.05172222222 0.002221036699 
143          NO_ID         0.1255         0.8335  0.03327777778 0.001995642826 
144          NO_ID   0.1521419753   0.6896111111  0.02508024691 0.002246651806 
145          NO_ID   0.1521419753   0.6896111111   0.0230308642 0.002056768696 
146          NO_ID  0.07016666667         0.9445         0.1255 0.002840698697 
147          NO_ID  0.07016666667         0.7225         0.1255  0.00489599575 
148          NO_ID  0.07016666667         0.8335   0.1531666667 0.003547276839 
149          NO_ID  0.07016666667         0.8335  0.09783333333 0.002855042189 
150          NO_ID   0.1347222222         0.8335  0.03327777778 0.002194459422 
151          NO_ID   0.1162777778         0.8335  0.03327777778 0.002174960293 
152          NO_ID         0.1255         0.8705  0.03327777778 0.002337402151 
153          NO_ID         0.1255         0.7965  0.03327777778 0.001956248178 
154          NO_ID   0.1524835391   0.6896111111  0.02405555556 0.002041782334 
155          NO_ID   0.1518004115   0.6896111111  0.02405555556 0.002149615889 
156          NO_ID   0.1521419753   0.6909814815  0.02405555556 0.002301463384 
157          NO_ID   0.1521419753   0.6882407407  0.02405555556 0.002635282867 
158          NO_ID   0.1521419753   0.6896111111  0.02439711934 0.002248921145 
159          NO_ID   0.1521419753   0.6896111111  0.02371399177 0.001932653602 
