%eval_id interface              R              S              F           rmse diff_std_at_low_commits 
1            NO_ID          1e-05          0.001          0.001   0.9823247789    1.145085197 
2            NO_ID  0.04762857143          0.001          0.001   0.9999794098    1.191897559 
3            NO_ID  0.09524714286          0.001          0.001   0.9231702075    1.161403845 
4            NO_ID   0.1428657143          0.001          0.001   0.9368433609    1.090769669 
5            NO_ID   0.1904842857          0.001          0.001   0.9696138672     1.13526646 
6            NO_ID   0.2381028571          0.001          0.001    1.012382852    1.103985172 
7            NO_ID   0.2857214286          0.001          0.001   0.9583729908    1.214820547 
8            NO_ID        0.33334          0.001          0.001   0.9686624252    1.210811077 
9            NO_ID   0.3809585714          0.001          0.001   0.9320987179    1.080948078 
10           NO_ID   0.4285771429          0.001          0.001   0.9920640161    1.124927219 
11           NO_ID   0.4761957143          0.001          0.001   0.9846012422    1.142427025 
12           NO_ID   0.5238142857          0.001          0.001   0.9297242277    1.099155961 
13           NO_ID   0.5714328571          0.001          0.001   0.9412194856    1.049469921 
14           NO_ID   0.6190514286          0.001          0.001   0.9751160921    1.100959256 
15           NO_ID        0.66667          0.001          0.001    1.006311066     1.17060747 
16           NO_ID   0.7142885714          0.001          0.001    0.963762708     1.09975219 
17           NO_ID   0.7619071429          0.001          0.001   0.9839484048    1.054957941 
18           NO_ID   0.8095257143          0.001          0.001   0.9994381592     1.09145564 
19           NO_ID   0.8571442857          0.001          0.001   0.9529866616    1.094151841 
20           NO_ID   0.9047628571          0.001          0.001   0.9696025931    1.164989951 
21           NO_ID   0.9523814286          0.001          0.001   0.9612675557    1.174462762 
22           NO_ID              1          0.001          0.001    1.007463768    1.131185428 
23           NO_ID          1e-05  0.04857142857          0.001  0.03000247721  0.02791515419 
24           NO_ID  0.04762857143  0.04857142857          0.001  0.02689627416  0.02870727878 
25           NO_ID  0.09524714286  0.04857142857          0.001  0.02515033984  0.02284475982 
26           NO_ID   0.1428657143  0.04857142857          0.001  0.02355517955  0.03018192448 
27           NO_ID   0.1904842857  0.04857142857          0.001  0.02342938981  0.02995987026 
28           NO_ID   0.2381028571  0.04857142857          0.001  0.02212633213  0.03221318148 
29           NO_ID   0.2857214286  0.04857142857          0.001  0.01997163846   0.0168585479 
30           NO_ID        0.33334  0.04857142857          0.001  0.01907900194  0.03218658014 
31           NO_ID   0.3809585714  0.04857142857          0.001   0.0194410577  0.01747795795 
32           NO_ID   0.4285771429  0.04857142857          0.001  0.02053465654  0.02612310128 
33           NO_ID   0.4761957143  0.04857142857          0.001  0.01867527688  0.02219882479 
34           NO_ID   0.5238142857  0.04857142857          0.001  0.02050449073  0.03386526619 
